event_index,relative_day,seconds_since_previous,hour_utc,weekday_utc,video_id,track_title,channel_name,in_music_library
1,0,,14,Thursday,i_i9Qp5g3SY,CROWN,ZombiiBoii - Topic,False
2,0,32,14,Thursday,dMAGiSGJNPk,midnight vice city,WisdomBeatz - Topic,False
3,0,11,14,Thursday,O4lu1QzzvYA,Playboi Carti - Long Time REMIX | DudekBeats,dudekbeats,False
4,0,2,14,Thursday,VnpZfVZss8E,Space Boy (feat. Lucki),Manny Laurenko - Topic,False
5,0,166,14,Thursday,KM01VEg9hsU,lucki - more than ever (slowed + reverb) 639hz,eternal!,False
6,0,179,14,Thursday,lUKGzvQj4bI,Pound Cake / Paris Morton Music 2,Release - Topic,False
7,0,222,14,Thursday,9-XbXBq8cl8,"Sing About Me, I'm Dying Of Thirst",Release - Topic,True
8,0,457,14,Thursday,ChUkGic_rjQ,lil tecca ~ show me up ﾉ slowed + reverb ﾉ,rum world,False
9,0,3,14,Thursday,tqiw_yIlSF0,Palace (Slowed + Reverb),ADTurnUp - Topic,False
10,0,2,14,Thursday,xFEMrHaU2zo,Watch This (Lil Uzi Vert) (Chill Version),Silent DJ - Topic,False
11,0,4,14,Thursday,Walj9dAapYo,https://music.youtube.com/watch?v=Walj9dAapYo,,False
12,0,3,14,Thursday,aqMMQcMN5pQ,elon musk,WisdomBeatz - Topic,False
13,0,22,14,Thursday,qxwNMy_gYng,Ease,Whirr - Topic,False
14,0,207,15,Thursday,ktfu22QX474,Head in the Ceiling Fan,Title Fight - Topic,False
15,0,239,15,Thursday,vdB3E5cRdTk,Telephones,Vacations - Topic,False
16,0,213,15,Thursday,l-rjYVI3OMo,What Once Was,Her's - Topic,False
17,0,255,15,Thursday,acg9ukzBwqg,i was all over her,Release - Topic,False
18,0,164,15,Thursday,_Jh54sLPCmg,Moon Undah Water,Puma Blue - Topic,False
19,0,221,15,Thursday,_uhaU5ca0Bs,Leave,Whirr - Topic,False
20,0,197,15,Thursday,JiDuubzc5yI,Heading for the Door,duster - Topic,False
21,0,187,15,Thursday,KfEEm4Zx-EU,505,Arctic Monkeys - Topic,False
22,0,254,15,Thursday,gUI_fNERR6s,Pale,Modern Color - Topic,False
23,0,192,15,Thursday,MwQd828yKkM,Become the Warm Jets,Current Joys - Topic,False
24,0,39,15,Thursday,r-P1pcayiZk,Youngest Daughter,Superheaven - Topic,False
25,0,250,15,Thursday,xKmqwrQFlpA,Locket,Crumb - Topic,False
26,0,26,15,Thursday,7B8YGZBeX8A,Junk Shop,Helvetia - Topic,False
27,0,237,15,Thursday,wkUVO6frGqE,Need 2,Pinegrove - Topic,False
28,0,192,15,Thursday,gm8vfUA81fk,Do Not Enter,Glare - Topic,False
29,0,15,15,Thursday,GnunFdSBEhQ,Your face,Wisp - Topic,False
30,0,1,15,Thursday,sMN0ibWJUWM,Vansire - Halcyon Age ( s l o w e d + r e v e r b),yeuric ,False
31,0,2,15,Thursday,Fd18EGnm6DM,Whole,Basement - Topic,False
32,0,940,16,Thursday,LG4Cf977rHc,Break,alex_g_offline - Topic,False
33,0,367,16,Thursday,8ElVb8YQbmI,Inside Out,duster - Topic,False
34,0,1185,16,Thursday,ymP9fUlF-Ok,gave you my all,juggler - Topic,False
