video_id,track_title,channel_name,play_count,first_event_index,last_event_index,first_relative_day,last_relative_day,in_music_library
s1F7CVT0I7E,010 (edit),Lexcorp,41,118,1894,383,801,False
3wj2FT4qzsM,dream pad edit,Lexcorp,36,102,1895,376,801,False
8cQB1hlfDRk,Track 7,Lexcorp,33,122,1899,383,801,False
4BzWL4pHm78,American Palace,Lexcorp,32,119,1896,383,801,False
rVHnfYAACgA,Your Obituary,1791,31,124,1902,383,801,False
3tJ_PV_9ETo,Track 10,Lexcorp,30,132,1901,384,801,False
D0vWiR9RD6w,Track 6,Lexcorp,30,93,1898,19,801,False
eERxMmksUDY,Track 8,Lexcorp,28,123,1900,383,801,False
M4eQ1F3jBa8,1700,Lexcorp,26,120,1897,383,801,False
q86g1aop6a8,Aphex Twin - Stone In Focus,Jack Assir,24,220,1903,415,801,False
YJQfUvBPqtw,"The Gentle Hum of Anxiety (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,21,712,1814,453,776,False
uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,21,101,1598,376,488,True
vx7S3v7u7jY,Fission,Ludwig Göransson - Topic,20,225,1880,419,801,True
uPp2n5cFC68,alvedon - retire (final) (slowed + reverb),drown in fog,19,313,1811,432,775,False
b0d8sSmZqzs,Trinity,Ludwig Göransson - Topic,18,249,1870,420,801,True
Pswx6OQp1Ks,Destroyer Of Worlds,Ludwig Göransson - Topic,17,473,1874,437,801,True
8TLR-TTXDY8,Quantum Mechanics,Ludwig Göransson - Topic,16,184,1886,412,801,False
oOhpTxcUxy0,Ground Zero,Ludwig Göransson - Topic,15,598,1887,447,801,True
VBCr6UVacz8,Power Stays In The Shadows,Ludwig Göransson - Topic,14,591,1877,447,801,True
lnIOHXLdniM,medasin - magic (slowed + reverb with paulstretch),drown in fog,14,433,1810,436,775,False
oGyQwSwMI94,Gravity Swallows Light,Ludwig Göransson - Topic,14,609,1892,447,801,True
p0UTjSiXNp0,Quiet and Falling,Lena Raine - Topic,14,197,917,412,462,True
uADCo0308Kk,Colonel Pash,Ludwig Göransson - Topic,14,597,1891,447,801,True
Nsv07AuY9k0,Radiohead - Everything In Its Right Place (slowed instrumental),picture.,13,347,1719,433,696,False
OqY3kbQEMZI,Something More Important,Ludwig Göransson - Topic,13,639,1882,449,801,True
9ytiyD_QA2s,magic,Medasin - Topic,12,247,1832,420,776,True
FGCdurLEgsk,Kitty Comes To Testify,Ludwig Göransson - Topic,12,604,1876,447,801,False
LtmFUgI6zEE,Dr. Hill,Ludwig Göransson - Topic,12,593,1885,447,801,False
YqfbDisiAQo,Groves,Ludwig Göransson - Topic,12,216,1879,412,801,True
aedBzDZuTVA,What We Have Done,Ludwig Göransson - Topic,12,600,1875,447,801,False
2vvs4__2XRI,"Intriguing Possibilities (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,11,708,1753,453,774,False
RocrMotFT4c,The Trial,Ludwig Göransson - Topic,11,592,1868,447,801,False
X-jOQkXJuIw,A Lowly Shoe Salesman,Ludwig Göransson - Topic,11,595,1878,447,801,True
Z93gSAyWjtQ,Meeting Kitty,Ludwig Göransson - Topic,11,589,1890,447,801,False
j11Nm4i4XbI,Oppenheimer,Ludwig Göransson - Topic,11,602,1883,447,801,False
nNiHetq8-bg,Los Alamos,Ludwig Göransson - Topic,11,596,1873,447,801,False
pCEVj0nV7M8,Atmospheric Ignition,Ludwig Göransson - Topic,11,599,1872,447,801,False
xBkXDczuu3U,Theorists,Ludwig Göransson - Topic,11,590,1884,447,801,False
9SBNCYkSceU,"Hand Covers Bruise (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,10,709,1862,453,801,False
oU4ZbLzaqRI,"Complication with Optimistic Outcome (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,10,716,1904,453,803,False
-U4VnWX1ZD4,Fusion,Ludwig Göransson - Topic,9,636,1888,449,801,True
Ee-bpPsUeto,Manhattan Project,Ludwig Göransson - Topic,9,606,1871,447,801,False
Kb-PTIsdvXU,Arcade Fire Dimensions Slowed and Reverb.,GodSpeed,9,368,1800,433,775,False
4JZ-o3iAJv4,Can You Hear The Music,Ludwig Göransson - Topic,8,607,1881,447,801,False
O0Cw1SLdxxE,Kanye West - Flashing Lights (Alternate Intro),prod. OCEVN,8,861,1914,457,858,False
UysO8R1vqA8,American Prometheus,Ludwig Göransson - Topic,8,594,1889,447,801,False
x5faT66jmG4,"In Motion (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,8,713,1766,453,775,False
-oThJ94PIRc,"Carbon Prevails (HD) - From the Soundtrack to ""The Social Network""",CookieAdventures,7,706,1768,453,775,False
XU8rNrTnIUE,Emile Mosseri - Jacob and the Stone [𝙨𝙡𝙤𝙬𝙚𝙙 + 𝙧𝙚𝙫𝙚𝙧𝙗 + 𝙚𝙭𝙩𝙚𝙣𝙙𝙚𝙙],Hendo,7,219,1838,415,779,False
